          0,   34,    7
          1,   34,   15
          2,   32,   23
          3,   28,   31
          4,   22,   38
          5,   14,   44
          6,    4,   48
          7,   -7,   50
          8,  -19,   49
          9,  -31,   45
         10,  -42,   38
         11,  -51,   28
         12,  -57,   16
         13,  -60,    3
         14,  -60,  -10
         15,  -57,  -23
         16,  -52,  -35
         17,  -44,  -46
         18,  -33,  -54
         19,  -21,  -60
         20,   -8,  -63
         21,    5,  -63
         22,   18,  -61
         23,   30,  -56
         24,   41,  -49
         25,   49,  -39
         26,   56,  -28
         27,   60,  -16
         28,   62,   -3
         29,   61,   10
         30,   57,   22
         31,   51,   33
         32,   43,   43
         33,   33,   51
         34,   21,   57
         35,    8,   60
         36,   -5,   60
         37,  -18,   58
         38,  -31,   53
         39,  -42,   45
         40,  -51,   35
         41,  -58,   23
         42,  -62,   10
         43,  -63,   -4
         44,  -61,  -18
         45,  -56,  -31
         46,  -48,  -42
         47,  -38,  -51
         48,  -27,  -58
         49,  -15,  -62
         50,   -2,  -64
         51,   11,  -63
         52,   23,  -59
         53,   34,  -53
         54,   44,  -45
         55,   52,  -35
         56,   58,  -24
         57,   61,  -12
         58,   62,    1
         59,   60,   14
         60,   56,   26
         61,   49,   37
         62,   40,   46
         63,   29,   53
         64,   17,   58
         65,    4,   60
         66,   -9,   60
         67,  -22,   57
         68,  -34,   51
         69,  -45,   42
         70,  -54,   31
         71,  -60,   18
         72,  -63,    4
         73,  -63,  -10
         74,  -59,  -23
         75,  -53,  -35
         76,  -45,  -45
         77,  -35,  -54
         78,  -23,  -60
         79,  -10,  -63
         80,    3,  -64
         81,   16,  -62
         82,   28,  -57
         83,   39,  -50
         84,   48,  -41
         85,   55,  -30
         86,   60,  -18
         87,   62,   -5
         88,   62,    8
         89,   59,   21
         90,   53,   33
         91,   45,   43
         92,   35,   51
         93,   23,   57
         94,   10,   60
         95,   -3,   61
         96,  -16,   59
         97,  -29,   54
         98,  -41,   46
         99,  -51,   36
        100,  -58,   24
        101,  -62,   11
        102,  -63,   -3
        103,  -61,  -17
        104,  -56,  -30
        105,  -48,  -41
        106,  -38,  -50
        107,  -27,  -57
        108,  -15,  -62
        109,   -2,  -64
        110,   11,  -63
        111,   23,  -59
        112,   34,  -53
        113,   44,  -45
        114,   52,  -35
        115,   58,  -24
        116,   61,  -12
        117,   62,    1
        118,   60,   14
        119,   56,   26
        120,   49,   37
        121,   40,   46
        122,   29,   53
        123,   17,   58
        124,    4,   60
        125,   -9,   60
        126,  -22,   57
        127,  -34,   51
        128,  -45,   42
        129,  -54,   31
        130,  -60,   18
        131,  -63,    4
        132,  -63,  -10
        133,  -59,  -23
        134,  -53,  -35
        135,  -45,  -45
        136,  -35,  -54
        137,  -23,  -60
        138,  -10,  -63
        139,    3,  -64
        140,   16,  -62
        141,   28,  -57
        142,   39,  -50
        143,   48,  -41
        144,   55,  -30
        145,   60,  -18
        146,   62,   -5
        147,   62,    8
        148,   59,   21
        149,   53,   33
        150,   45,   43
        151,   35,   51
        152,   23,   57
        153,   10,   60
        154,   -3,   61
        155,  -16,   59
        156,  -29,   54
        157,  -41,   46
        158,  -51,   36
        159,  -58,   24
        160,  -62,   11
        161,  -63,   -3
        162,  -61,  -17
        163,  -56,  -30
        164,  -48,  -41
        165,  -38,  -50
        166,  -27,  -57
        167,  -15,  -62
        168,   -2,  -64
        169,   11,  -63
        170,   23,  -59
        171,   34,  -53
        172,   44,  -45
        173,   52,  -35
        174,   58,  -24
        175,   61,  -12
        176,   62,    1
        177,   60,   14
        178,   56,   26
        179,   49,   37
        180,   40,   46
        181,   29,   53
        182,   17,   58
        183,    4,   60
        184,   -9,   60
        185,  -22,   57
        186,  -34,   51
        187,  -45,   42
        188,  -54,   31
        189,  -60,   18
        190,  -63,    4
        191,  -63,  -10
        192,  -59,  -23
        193,  -53,  -35
        194,  -45,  -45
        195,  -35,  -54
        196,  -23,  -60
        197,  -10,  -63
        198,    3,  -64
        199,   16,  -62
        200,   28,  -57
        201,   39,  -50
        202,   48,  -41
        203,   55,  -30
        204,   60,  -18
        205,   62,   -5
        206,   62,    8
        207,   59,   21
        208,   53,   33
        209,   45,   43
        210,   35,   51
        211,   23,   57
        212,   10,   60
        213,   -3,   61
        214,  -16,   59
        215,  -29,   54
        216,  -41,   46
        217,  -51,   36
        218,  -58,   24
        219,  -62,   11
        220,  -63,   -3
        221,  -61,  -17
        222,  -56,  -30
        223,  -48,  -41
        224,  -38,  -50
        225,  -27,  -57
        226,  -15,  -62
        227,   -2,  -64
        228,   11,  -63
        229,   23,  -59
        230,   34,  -53
        231,   44,  -45
        232,   52,  -35
        233,   58,  -24
        234,   61,  -12
        235,   62,    1
        236,   60,   14
        237,   56,   26
        238,   49,   37
        239,   40,   46
        240,   29,   53
        241,   17,   58
        242,    4,   60
        243,   -9,   60
        244,  -22,   57
        245,  -34,   51
        246,  -45,   42
        247,  -54,   31
        248,  -60,   18
        249,  -63,    4
        250,  -63,  -10
        251,  -59,  -23
        252,  -53,  -35
        253,  -45,  -45
        254,  -35,  -54
        255,  -23,  -60
        256,  -10,  -63
        257,    3,  -64
        258,   16,  -62
        259,   28,  -57
        260,   39,  -50
        261,   48,  -41
        262,   55,  -30
        263,   60,  -18
        264,   62,   -5
        265,   62,    8
        266,   59,   21
        267,   53,   33
        268,   45,   43
        269,   35,   51
        270,   23,   57
        271,   10,   60
        272,   -3,   61
        273,  -16,   59
        274,  -29,   54
        275,  -41,   46
        276,  -51,   36
        277,  -58,   24
        278,  -62,   11
        279,  -63,   -3
        280,  -61,  -17
        281,  -56,  -30
        282,  -48,  -41
        283,  -38,  -50
        284,  -27,  -57
        285,  -15,  -62
        286,   -2,  -64
        287,   11,  -63
        288,   23,  -59
        289,   34,  -53
        290,   44,  -45
        291,   52,  -35
        292,   58,  -24
        293,   61,  -12
        294,   62,    1
        295,   60,   14
        296,   56,   26
        297,   49,   37
        298,   40,   46
        299,   29,   53
        300,   17,   58
        301,    4,   60
        302,   -9,   60
        303,  -22,   57
        304,  -34,   51
        305,  -45,   42
        306,  -54,   31
        307,  -60,   18
        308,  -63,    4
        309,  -63,  -10
        310,  -59,  -23
        311,  -53,  -35
        312,  -45,  -45
        313,  -35,  -54
        314,  -23,  -60
        315,  -10,  -63
        316,    3,  -64
        317,   16,  -62
        318,   28,  -57
        319,   39,  -50
        320,   48,  -41
        321,   55,  -30
        322,   60,  -18
        323,   62,   -5
        324,   62,    8
        325,   59,   21
        326,   53,   33
        327,   45,   43
        328,   35,   51
        329,   23,   57
        330,   10,   60
        331,   -3,   61
        332,  -16,   59
        333,  -29,   54
        334,  -41,   46
        335,  -51,   36
        336,  -58,   24
        337,  -62,   11
        338,  -63,   -3
        339,  -61,  -17
        340,  -56,  -30
        341,  -48,  -41
        342,  -38,  -50
        343,  -27,  -57
        344,  -15,  -62
        345,   -2,  -64
        346,   11,  -63
        347,   23,  -59
        348,   34,  -53
        349,   44,  -45
        350,   52,  -35
        351,   58,  -24
        352,   61,  -12
        353,   62,    1
        354,   60,   14
        355,   56,   26
        356,   49,   37
        357,   40,   46
        358,   29,   53
        359,   17,   58
        360,    4,   60
        361,   -9,   60
        362,  -22,   57
        363,  -34,   51
        364,  -45,   42
        365,  -54,   31
        366,  -60,   18
        367,  -63,    4
        368,  -63,  -10
        369,  -59,  -23
        370,  -53,  -35
        371,  -45,  -45
        372,  -35,  -54
        373,  -23,  -60
        374,  -10,  -63
        375,    3,  -64
        376,   16,  -62
        377,   28,  -57
        378,   39,  -50
        379,   48,  -41
        380,   55,  -30
        381,   60,  -18
        382,   62,   -5
        383,   62,    8
        384,   59,   21
        385,   53,   33
        386,   45,   43
        387,   35,   51
        388,   23,   57
        389,   10,   60
        390,   -3,   61
        391,  -16,   59
        392,  -29,   54
        393,  -41,   46
        394,  -51,   36
        395,  -58,   24
        396,  -62,   11
        397,  -63,   -3
        398,  -61,  -17
        399,  -56,  -30
        400,  -48,  -41
        401,  -38,  -50
        402,  -27,  -57
        403,  -15,  -62
        404,   -2,  -64
        405,   11,  -63
        406,   23,  -59
        407,   34,  -53
        408,   44,  -45
        409,   52,  -35
        410,   58,  -24
        411,   61,  -12
        412,   62,    1
        413,   60,   14
        414,   56,   26
        415,   49,   37
        416,   40,   46
        417,   29,   53
        418,   17,   58
        419,    4,   60
        420,   -9,   60
        421,  -22,   57
        422,  -34,   51
        423,  -45,   42
        424,  -54,   31
        425,  -60,   18
        426,  -63,    4
        427,  -63,  -10
        428,  -59,  -23
        429,  -53,  -35
        430,  -45,  -45
        431,  -35,  -54
        432,  -23,  -60
        433,  -10,  -63
        434,    3,  -64
        435,   16,  -62
        436,   28,  -57
        437,   39,  -50
        438,   48,  -41
        439,   55,  -30
        440,   60,  -18
        441,   62,   -5
        442,   62,    8
        443,   59,   21
        444,   53,   33
        445,   45,   43
        446,   35,   51
        447,   23,   57
        448,   10,   60
        449,   -3,   61
        450,  -16,   59
        451,  -29,   54
        452,  -41,   46
        453,  -51,   36
        454,  -58,   24
        455,  -62,   11
        456,  -63,   -3
        457,  -61,  -17
        458,  -56,  -30
        459,  -48,  -41
        460,  -38,  -50
        461,  -27,  -57
        462,  -15,  -62
        463,   -2,  -64
        464,   11,  -63
        465,   23,  -59
        466,   34,  -53
        467,   44,  -45
        468,   52,  -35
        469,   58,  -24
        470,   61,  -12
        471,   62,    1
        472,   60,   14
        473,   56,   26
        474,   49,   37
        475,   40,   46
        476,   29,   53
        477,   17,   58
        478,    4,   60
        479,   -9,   60
        480,  -22,   57
        481,  -34,   51
        482,  -45,   42
        483,  -54,   31
        484,  -60,   18
        485,  -63,    4
        486,  -63,  -10
        487,  -59,  -23
        488,  -53,  -35
        489,  -45,  -45
        490,  -35,  -54
        491,  -23,  -60
        492,  -10,  -63
        493,    3,  -64
        494,   16,  -62
        495,   28,  -57
        496,   39,  -50
        497,   48,  -41
        498,   55,  -30
        499,   60,  -18
        500,   62,   -5
        501,   62,    8
        502,   59,   21
        503,   53,   33
        504,   45,   43
        505,   35,   51
        506,   23,   57
        507,   10,   60
        508,   -3,   61
        509,  -16,   59
        510,  -29,   54
        511,  -41,   46
        512,  -51,   36
        513,  -58,   24
        514,  -62,   11
        515,  -63,   -3
        516,  -61,  -17
        517,  -56,  -30
        518,  -48,  -41
        519,  -38,  -50
        520,  -27,  -57
        521,  -15,  -62
        522,   -2,  -64
        523,   11,  -63
        524,   23,  -59
        525,   34,  -53
        526,   44,  -45
        527,   52,  -35
        528,   58,  -24
        529,   61,  -12
        530,   62,    1
        531,   60,   14
        532,   56,   26
        533,   49,   37
        534,   40,   46
        535,   29,   53
        536,   17,   58
        537,    4,   60
        538,   -9,   60
        539,  -22,   57
        540,  -34,   51
        541,  -45,   42
        542,  -54,   31
        543,  -60,   18
        544,  -63,    4
        545,  -63,  -10
        546,  -59,  -23
        547,  -53,  -35
        548,  -45,  -45
        549,  -35,  -54
        550,  -23,  -60
        551,  -10,  -63
        552,    3,  -64
        553,   16,  -62
        554,   28,  -57
        555,   39,  -50
        556,   48,  -41
        557,   55,  -30
        558,   60,  -18
        559,   62,   -5
        560,   62,    8
        561,   59,   21
        562,   53,   33
        563,   45,   43
        564,   35,   51
        565,   23,   57
        566,   10,   60
        567,   -3,   61
        568,  -16,   59
        569,  -29,   54
        570,  -41,   46
        571,  -51,   36
        572,  -58,   24
        573,  -62,   11
        574,  -63,   -3
        575,  -61,  -17
        576,  -56,  -30
        577,  -48,  -41
        578,  -38,  -50
        579,  -27,  -57
        580,  -15,  -62
        581,   -2,  -64
        582,   11,  -63
        583,   23,  -59
        584,   34,  -53
        585,   44,  -45
        586,   52,  -35
        587,   58,  -24
        588,   61,  -12
        589,   62,    1
        590,   60,   14
        591,   56,   26
        592,   49,   37
        593,   40,   46
        594,   29,   53
        595,   17,   58
        596,    4,   60
        597,   -9,   60
        598,  -22,   57
        599,  -34,   51
        600,  -45,   42
        601,  -54,   31
        602,  -60,   18
        603,  -63,    4
        604,  -63,  -10
        605,  -59,  -23
        606,  -53,  -35
        607,  -45,  -45
        608,  -35,  -54
        609,  -23,  -60
        610,  -10,  -63
        611,    3,  -64
        612,   16,  -62
        613,   28,  -57
        614,   39,  -50
        615,   48,  -41
        616,   55,  -30
        617,   60,  -18
        618,   62,   -5
        619,   62,    8
        620,   59,   21
        621,   53,   33
        622,   45,   43
        623,   35,   51
        624,   23,   57
        625,   10,   60
        626,   -3,   61
        627,  -16,   59
        628,  -29,   54
        629,  -41,   46
        630,  -51,   36
        631,  -58,   24
        632,  -62,   11
        633,  -63,   -3
        634,  -61,  -17
        635,  -56,  -30
        636,  -48,  -41
        637,  -38,  -50
        638,  -27,  -57
        639,  -15,  -62
        640,   -2,  -64
        641,   11,  -63
        642,   23,  -59
        643,   34,  -53
        644,   44,  -45
        645,   52,  -35
        646,   58,  -24
        647,   61,  -12
        648,   62,    1
        649,   60,   14
        650,   56,   26
        651,   49,   37
        652,   40,   46
        653,   29,   53
        654,   17,   58
        655,    4,   60
        656,   -9,   60
        657,  -22,   57
        658,  -34,   51
        659,  -45,   42
        660,  -54,   31
        661,  -60,   18
        662,  -63,    4
        663,  -63,  -10
        664,  -59,  -23
        665,  -53,  -35
        666,  -45,  -45
        667,  -35,  -54
        668,  -23,  -60
        669,  -10,  -63
        670,    3,  -64
        671,   16,  -62
        672,   28,  -57
        673,   39,  -50
        674,   48,  -41
        675,   55,  -30
        676,   60,  -18
        677,   62,   -5
        678,   62,    8
        679,   59,   21
        680,   53,   33
        681,   45,   43
        682,   35,   51
        683,   23,   57
        684,   10,   60
        685,   -3,   61
        686,  -16,   59
        687,  -29,   54
        688,  -41,   46
        689,  -51,   36
        690,  -58,   24
        691,  -62,   11
        692,  -63,   -3
        693,  -61,  -17
        694,  -56,  -30
        695,  -48,  -41
        696,  -38,  -50
        697,  -27,  -57
        698,  -15,  -62
        699,   -2,  -64
        700,   11,  -63
        701,   23,  -59
        702,   34,  -53
        703,   44,  -45
        704,   52,  -35
        705,   58,  -24
        706,   61,  -12
        707,   62,    1
        708,   60,   14
        709,   56,   26
        710,   49,   37
        711,   40,   46
        712,   29,   53
        713,   17,   58
        714,    4,   60
        715,   -9,   60
        716,  -22,   57
        717,  -34,   51
        718,  -45,   42
        719,  -54,   31
        720,  -60,   18
        721,  -63,    4
        722,  -63,  -10
        723,  -59,  -23
        724,  -53,  -35
        725,  -45,  -45
        726,  -35,  -54
        727,  -23,  -60
        728,  -10,  -63
        729,    3,  -64
        730,   16,  -62
        731,   28,  -57
        732,   39,  -50
        733,   48,  -41
        734,   55,  -30
        735,   60,  -18
        736,   62,   -5
        737,   62,    8
        738,   59,   21
        739,   53,   33
        740,   45,   43
        741,   35,   51
        742,   23,   57
        743,   10,   60
        744,   -3,   61
        745,  -16,   59
        746,  -29,   54
        747,  -41,   46
        748,  -51,   36
        749,  -58,   24
        750,  -62,   11
        751,  -63,   -3
        752,  -61,  -17
        753,  -56,  -30
        754,  -48,  -41
        755,  -38,  -50
        756,  -27,  -57
        757,  -15,  -62
        758,   -2,  -64
        759,   11,  -63
        760,   23,  -59
        761,   34,  -53
        762,   44,  -45
        763,   52,  -35
        764,   58,  -24
        765,   61,  -12
        766,   62,    1
        767,   60,   14
        768,   56,   26
        769,   49,   37
        770,   40,   46
        771,   29,   53
        772,   17,   58
        773,    4,   60
        774,   -9,   60
        775,  -22,   57
        776,  -34,   51
        777,  -45,   42
        778,  -54,   31
        779,  -60,   18
        780,  -63,    4
        781,  -63,  -10
        782,  -59,  -23
        783,  -53,  -35
        784,  -45,  -45
        785,  -35,  -54
        786,  -23,  -60
        787,  -10,  -63
        788,    3,  -64
        789,   16,  -62
        790,   28,  -57
        791,   39,  -50
        792,   48,  -41
        793,   55,  -30
        794,   60,  -18
        795,   62,   -5
        796,   62,    8
        797,   59,   21
        798,   53,   33
        799,   45,   43
        800,   35,   51
        801,   23,   57
        802,   10,   60
        803,   -3,   61
        804,  -16,   59
        805,  -29,   54
        806,  -41,   46
        807,  -51,   36
        808,  -58,   24
        809,  -62,   11
        810,  -63,   -3
        811,  -61,  -17
        812,  -56,  -30
        813,  -48,  -41
        814,  -38,  -50
        815,  -27,  -57
        816,  -15,  -62
        817,   -2,  -64
        818,   11,  -63
        819,   23,  -59
        820,   34,  -53
        821,   44,  -45
        822,   52,  -35
        823,   58,  -24
        824,   61,  -12
        825,   62,    1
        826,   60,   14
        827,   56,   26
        828,   49,   37
        829,   40,   46
        830,   29,   53
        831,   17,   58
        832,    4,   60
        833,   -9,   60
        834,  -22,   57
        835,  -34,   51
        836,  -45,   42
        837,  -54,   31
        838,  -60,   18
        839,  -63,    4
        840,  -63,  -10
        841,  -59,  -23
        842,  -53,  -35
        843,  -45,  -45
        844,  -35,  -54
        845,  -23,  -60
        846,  -10,  -63
        847,    3,  -64
        848,   16,  -62
        849,   28,  -57
        850,   39,  -50
        851,   48,  -41
        852,   55,  -30
        853,   60,  -18
        854,   62,   -5
        855,   62,    8
        856,   59,   21
        857,   53,   33
        858,   45,   43
        859,   35,   51
        860,   23,   57
        861,   10,   60
        862,   -3,   61
        863,  -16,   59
        864,  -29,   54
        865,  -41,   46
        866,  -51,   36
        867,  -58,   24
        868,  -62,   11
        869,  -63,   -3
        870,  -61,  -17
        871,  -56,  -30
        872,  -48,  -41
        873,  -38,  -50
        874,  -27,  -57
        875,  -15,  -62
        876,   -2,  -64
        877,   11,  -63
        878,   23,  -59
        879,   34,  -53
        880,   44,  -45
        881,   52,  -35
        882,   58,  -24
        883,   61,  -12
        884,   62,    1
        885,   60,   14
        886,   56,   26
